profile,module,result_source,scenario_id,category,subclass,success,completion_step,evidence_type,evidence_path,source_config,log_candidates
full,full,baseline,P2_07,P,P2,True,8,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P2_07/run_P2_07.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_07.json,1
full,full,baseline,P2_08,P,P2,True,3,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P2_08/run_P2_08.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_08.json,1
full,full,baseline,P2_09,P,P2,True,11,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P2_09/run_P2_09.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_09.json,1
full,full,baseline,P2_10,P,P2,True,5,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P2_10/run_P2_10.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P2_10.json,1
full,full,baseline,P3_11,P,P3,True,7,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P3_11/run_P3_11.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_11.json,2
full,full,baseline,P3_12,P,P3,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_P3_12.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_12.json,2
full,full,baseline,P3_13,P,P3,True,5,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P3_13/run_P3_13.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_13.json,2
full,full,baseline,P3_14,P,P3,True,7,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P3_14/run_P3_14.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_14.json,2
full,full,baseline,P3_15,P,P3,True,9,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P3_15/run_P3_15.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_15.json,2
full,full,baseline,P3_16,P,P3,True,6,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P3_16/run_P3_16.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_16.json,2
full,full,baseline,P3_17,P,P3,True,12,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P3_17/run_P3_17.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_17.json,2
full,full,baseline,P3_18,P,P3,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_P3_18.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_18.json,2
full,full,baseline,P3_19,P,P3,False,,no_success_evidence,/Users/rushy/program/virtualhome/evaluation/results/robostate/raw/run_P3_19.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_19.json,2
full,full,baseline,P3_20,P,P3,True,7,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/p_class/P3_20/run_P3_20.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/p_class/P3_20.json,2
without_goal_reasoning,goal,ablation,G1_01,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_01/metrics.json,,
without_goal_reasoning,goal,ablation,G1_02,,,True,4.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_02/metrics.json,,
without_goal_reasoning,goal,ablation,G1_03,,,True,2.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_03/metrics.json,,
without_goal_reasoning,goal,ablation,G1_04,,,True,2.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_04/metrics.json,,
without_goal_reasoning,goal,ablation,G1_05,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G1_05/metrics.json,,
without_goal_reasoning,goal,ablation,G2_06,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_06/metrics.json,,
without_goal_reasoning,goal,ablation,G2_07,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_07/metrics.json,,
without_goal_reasoning,goal,ablation,G2_08,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_08/metrics.json,,
without_goal_reasoning,goal,ablation,G2_09,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_09/metrics.json,,
without_goal_reasoning,goal,ablation,G2_10,,,True,2.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G2_10/metrics.json,,
without_goal_reasoning,goal,ablation,G3_11,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_11/metrics.json,,
without_goal_reasoning,goal,ablation,G3_12,,,True,0.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_12/metrics.json,,
without_goal_reasoning,goal,ablation,G3_13,,,True,0.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_13/metrics.json,,
without_goal_reasoning,goal,ablation,G3_14,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_14/metrics.json,,
without_goal_reasoning,goal,ablation,G3_15,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G3_15/metrics.json,,
without_goal_reasoning,goal,ablation,G4_16,,,True,7.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_16/metrics.json,,
without_goal_reasoning,goal,ablation,G4_17,,,True,7.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_17/metrics.json,,
without_goal_reasoning,goal,ablation,G4_18,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_18/metrics.json,,
without_goal_reasoning,goal,ablation,G4_19,,,True,2.0,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_19/metrics.json,,
without_goal_reasoning,goal,ablation,G4_20,,,False,,ablation_metrics,evaluation/results/table3/robostate/runs/without_goal_reasoning/G4_20/metrics.json,,
without_goal_reasoning,goal,baseline,M1_01,M,M1,True,4,goal_reached,/Users/rushy/program/virtualhome/evaluation/results/source_tasks/robostate/m_class/M1_01/run_M1_01.md,/Users/rushy/program/virtualhome/evaluation/configs/source_tasks/m_class/M1_01.json,2
